"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Configuración de atribución",Resultados,"Indicador de resultado",Alcance,Impresiones,"Costo por resultados","Importe gastado (USD)",Finalización
2024-01-01,2024-01-31,WS.24.01.V2,inactive,35,Total,"7 días tras clic o 1 día tras visualización",224,actions:offsite_conversion.fb_pixel_view_content,1895,9286,0.03276786,7.34,2024-01-06
2024-01-01,2024-01-31,"PE.24.03.V4.1 Campaña",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días tras clic o 1 día tras visualización",95,actions:onsite_conversion.lead_grouped,40865,110977,0.84210526,80,2024-01-20
2024-01-01,2024-01-31,G1.PE.24.06.V1,completed,"Con el presupuesto del conjunto de anuncios",0,"7 días tras clic o 1 día tras visualización",20,actions:onsite_conversion.lead_grouped,5754,9460,0.2215,4.43,2024-01-03
2024-01-01,2024-01-31,G2.PE.24.06.V1,completed,"Con el presupuesto del conjunto de anuncios",0,"7 días tras clic o 1 día tras visualización",17,actions:onsite_conversion.lead_grouped,7139,11898,0.26294118,4.47,2024-01-03
2024-01-01,2024-01-31,G3.PE.24.06.V1,completed,"Con el presupuesto del conjunto de anuncios",0,"7 días tras clic o 1 día tras visualización",5,actions:onsite_conversion.lead_grouped,4451,7421,0.892,4.46,2024-01-03
2024-01-01,2024-01-31,G4.PE.24.06.V1,completed,"Con el presupuesto del conjunto de anuncios",0,"7 días tras clic o 1 día tras visualización",17,actions:onsite_conversion.lead_grouped,6347,11398,0.25941176,4.41,2024-01-03
2024-01-01,2024-01-31,G5.PE.24.06.V1,completed,"Con el presupuesto del conjunto de anuncios",0,"7 días tras clic o 1 día tras visualización",18,actions:onsite_conversion.lead_grouped,5425,9006,0.24944444,4.49,2024-01-03
2024-01-01,2024-01-31,G6.PE.24.06.V1,completed,"Con el presupuesto del conjunto de anuncios",0,"7 días tras clic o 1 día tras visualización",29,actions:onsite_conversion.lead_grouped,4819,6847,0.12137931,3.52,2024-01-03
2024-01-01,2024-01-31,CP.23.CARRUSEL2,completed,"Con el presupuesto del conjunto de anuncios",0,"7 días tras clic o 1 día tras visualización",131,actions:onsite_conversion.messaging_conversation_started_7d,48067,95744,0.82633588,108.25,2024-01-09
2024-01-01,2024-01-31,PE.24.02.V5potencial,completed,50,Total,"7 días tras clic o 1 día tras visualización",111,actions:onsite_conversion.lead_grouped,28784,52395,0.45036036,49.99,2024-01-17
2024-01-01,2024-01-31,PE.24.04.V3interaccion,inactive,60,Total,"7 días tras clic o 1 día tras visualización",144,actions:offsite_conversion.fb_pixel_view_content,5007,24322,0.17798611,25.63,2024-02-16
2024-01-01,2024-01-31,PE.24.04.V3potencial,inactive,60,Total,"7 días tras clic o 1 día tras visualización",97,actions:onsite_conversion.lead_grouped,24857,46291,0.41824742,40.57,2024-01-26
2024-01-01,2024-01-31,PE.24.05.V1interacción,completed,36,Total,"7 días tras clic o 1 día tras visualización",156,actions:offsite_conversion.fb_pixel_view_content,13459,43268,0.23076923,36,2024-01-11
2024-01-01,2024-01-31,PE.24.05.V1potencial,completed,70,Total,"7 días tras clic o 1 día tras visualización",114,actions:onsite_conversion.lead_grouped,36123,85837,0.61403509,70,2024-01-18
2024-01-01,2024-01-31,"PE.24.01.V4.3 Campaña",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días tras clic o 1 día tras visualización",173,actions:onsite_conversion.lead_grouped,54952,101356,0.28901734,50,2024-01-17
2024-01-01,2024-01-31,PE.24.07.V1potencial,completed,50,Total,"7 días tras clic o 1 día tras visualización",83,actions:onsite_conversion.lead_grouped,26339,53116,0.60240964,50,2024-01-18
2024-01-01,2024-01-31,PE.24.07.V1interaccion,completed,90,Total,"7 días tras clic o 1 día tras visualización",407,actions:offsite_conversion.fb_pixel_view_content,23171,83003,0.16710074,68.01,2024-02-09
